DATE,CHNCPIALLAINMEI
1993-01-01,44.4186186749772
1994-01-01,55.1932366295854
1995-01-01,64.4608576985834
1996-01-01,69.8195896965446
1997-01-01,71.7650902879295
1998-01-01,71.2102142915201
1999-01-01,70.2122220420225
2000-01-01,70.4564253040309
2001-01-01,70.9630993003062
2002-01-01,70.4436662912482
2003-01-01,71.2379921482152
2004-01-01,73.9625880898101
2005-01-01,75.2764695500152
2006-01-01,76.5181037586658
2007-01-01,80.2038024332806
2008-01-01,84.9560812196415
2009-01-01,84.3374575882361
2010-01-01,87.0154467336236
2011-01-01,91.8481949818041
2012-01-01,94.2541821545431
2013-01-01,96.724631146818
2014-01-01,98.5833333333334
2015-01-01,100.0
2016-01-01,102.0
2017-01-01,103.625
2018-01-01,105.775
2019-01-01,108.841666666667
